delivery_year,Submarket,leaseup_time,effective_rent_delivery,effective_rent_leaseup,effective_rent_growth,negative_growth,umap_cluster,property_age,large_project_flag
2013,Cedar Park,2.0,1329.0,1200.0,-129.0,True,3,0,1
2018,San Marcos,0.0,1347.0,1235.0,-112.0,True,2,-1,1
2010,Cedar Park,0.0,1136.0,990.0,-146.0,True,3,0,1
2019,Downtown/University,0.0,3420.0,3135.0,-285.0,True,2,-1,1
2018,East Austin,0.0,1365.0,1260.0,-105.0,True,2,-1,1
2014,Cedar Park,47.0,1309.0,1324.0,15.0,False,3,0,1
2009,Southwest Austin,0.0,1138.0,973.0,-165.0,True,3,0,1
2009,Round Rock/Georgetown,0.0,1028.0,829.0,-199.0,True,3,0,1
2017,Cedar Park,2.0,1267.0,1161.0,-106.0,True,1,-1,0
2008,Cedar Park,4.0,1016.0,858.0,-158.0,True,3,1,1
2008,Downtown/University,5.0,2012.0,1855.0,-157.0,True,1,0,0
2014,Southwest Austin,9.0,1381.0,1311.0,-70.0,True,2,-1,1
2012,Far West Austin,10.0,1236.0,1129.0,-107.0,True,3,0,1
2008,South Austin,0.0,1554.0,1425.0,-129.0,True,0,0,1
2017,Northwest Austin,3.0,1352.0,1231.0,-121.0,True,2,-1,1
2009,Pflugerville/Wells Branch,1.0,1141.0,1046.0,-95.0,True,3,0,1
2017,Round Rock/Georgetown,5.0,1208.0,1011.0,-197.0,True,2,-1,1
2017,Round Rock/Georgetown,2.0,1155.0,1079.0,-76.0,True,3,0,1
2008,Cedar Park,0.0,1045.0,898.0,-147.0,True,2,-1,1
2009,East Austin,0.0,1506.0,1292.0,-214.0,True,3,0,1
2018,North Central Austin,,1466.0,,,False,2,-1,1
2009,Far West Austin,0.0,1127.0,954.0,-173.0,True,0,0,1
2015,Southwest Austin,8.0,1449.0,1316.0,-133.0,True,2,-1,1
2020,San Marcos,0.0,1355.0,1242.0,-113.0,True,0,0,1
2016,Southwest Austin,1.0,1684.0,1543.0,-141.0,True,0,0,1
2019,San Marcos,1.0,1428.0,1310.0,-118.0,True,2,-1,1
2013,Round Rock/Georgetown,,1290.0,,,False,1,0,0
2016,Cedar Park,4.0,1370.0,1187.0,-183.0,True,2,-1,1
2014,Round Rock/Georgetown,,1139.0,,,False,2,-1,1
2018,Southwest Austin,0.0,1707.0,1594.0,-113.0,True,0,0,1
2009,Round Rock/Georgetown,0.0,1058.0,904.0,-154.0,True,3,0,1
2018,Southwest Austin,0.0,2182.0,2000.0,-182.0,True,1,0,0
2018,Cedar Park,0.0,1314.0,1095.0,-219.0,True,2,-1,1
2013,Southwest Austin,13.0,1552.0,1364.0,-188.0,True,2,-1,1
